Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Лифт требует ремонта,EDC,2022-08-16 16:33:16.000000,2023-04-07 10:55:50.504000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-09-23 21:55:52.000000,2022-09-24 09:20:24.278000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Наличие крыс/мышей/насекомых в местах общего пользования,EDC,2022-07-13 10:03:47.000000,2023-04-07 03:26:45.722000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Лифт требует ремонта,EDC,2022-08-27 12:26:11.000000,2023-04-07 03:02:59.110000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Наличие крыс/мышей/насекомых в местах общего пользования,EDC,2022-09-23 21:53:21.000000,2023-04-08 05:11:53.266000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в лифте,EDC,2022-08-16 16:33:58.000000,2022-08-17 10:13:39.667000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие ГВС в доме,EDC,2022-08-22 11:28:27.000000,2022-08-22 14:55:49.867000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Недогрев ГВС,EDC,2022-09-13 09:06:05.000000,2022-09-13 10:02:20.426000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Отсутствие освещения в местах общего пользования,EDC,2022-08-14 20:10:44.000000,2022-08-15 07:20:16.722000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Поломка лифта,EDC,2022-08-27 19:20:38.000000,2022-08-28 09:47:36.557000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-09-10 13:38:20.000000,2022-09-10 14:33:00.900000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Недогрев ГВС,EDC,2022-09-13 11:17:30.000000,2022-09-14 12:40:20.469000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Засор мусоропровода,EDC,2022-09-09 12:17:45.000000,2022-09-09 16:30:37.701000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
Недогрев ГВС,EDC,2022-09-20 10:40:52.000000,2022-09-20 12:12:42.705000,ВАО,"внутригородская территория муниципальный округ Гольяново, Щёлковское шоссе, дом 59",260014,
